tweets,date,city,user_location,id,link
"#Valle #Urgente @Orivac_Colombia  denuncia un herido por represión desde hace mas de dos horas de Policía motorizada y ESMAD, apoyadas por tanquetas del ejército https://t.co/bEbaAcOAIZ",2021-05-19 17:32:30,Cali,Colombia,1395069868374990853,https://twitter.com/i/web/stuatus/1395069868374990853
"@ClaudiaLuci0222 @SofiaMo2376 @MirandaBogota @IvanDuque @PGN_COL @FiscaliaCol Boba hpta debería salir más y dejar de ver solo rcn babosa, osea que los jóvenes que mueren cada día o quedan liciados por culpa del esmad y la policía son falsos? Aaaah y respecto a un trono que le ví por ahí: patética hpta el que tiene el país incendiado y en ruinas es duque.",2021-05-19 17:31:57,Cali,"Bogotá, D.C., Colombia",1395069728402681863,https://twitter.com/i/web/stuatus/1395069728402681863
@elespectador Y de que valio? Lo que hizo este policia lo daño su institucion en la noche donde el ESMAD volvio a aterrorizar los barrios aledaños al portal de las americas. Ojala los altos mandos pensaran como este policia que prefirio dialogar y solucionar las diferencias de esta manera,2021-05-19 17:30:06,Cali,"Bogotá, D.C., Colombia",1395069266781777921,https://twitter.com/i/web/stuatus/1395069266781777921
"Los robos no son culpa del esmad, ni de la policia, mucho menos del alcalde, el que es ratero es ratero y en Buenaventura de esos abundan.",2021-05-19 17:18:13,Cali,"Buenaventura, Colombia",1395066272375771136,https://twitter.com/i/web/stuatus/1395066272375771136
"@Biqueen08 @Gu2Hail O sea, lo que defiendes es que no haya esmad para que la policía actúe con tasers y pistolas. No los hay ternura, la pandemia mermó el recaudo y hay programas sociales que dependen enteramente del gasto público. La plata no se imprime y ya",2021-05-19 17:08:28,Cali,colombia,1395063820079534084,https://twitter.com/i/web/stuatus/1395063820079534084
"URGENTE:

ABUELITOS MUEREN DE HAMBRE EN LA CALLE DURANTE EL PARO NACIONAL

MIENTRAS EL GOBIERNO COMPRA MUNICIÓN Y EQUIPOS DE REPRESIÓN PARA EL ESMAD Y LA POLICÍA https://t.co/OQBhPSO50q",2021-05-19 17:04:50,Cali,Colombia,1395062904739680257,https://twitter.com/i/web/stuatus/1395062904739680257
"3. Por estos hechos hubo enfrentamientos con el ESMAD frente a la URI el 14 de mayo. De acuerdo con los y las asistentes, las agresiones por parte de la policía dejaron por lo menos dos personas heridas que fueron trasladadas al Hospital San Jorge.",2021-05-19 17:04:03,Cali,Colombia,1395062708572233731,https://twitter.com/i/web/stuatus/1395062708572233731
Con toda muchachos ! Les voy a comprar pintura para q la pelea sea pareja para q@los mkas del Esmad y la policía les toque quitarse los cascos 🪖 https://t.co/j0NTel0p1l,2021-05-19 17:02:25,Cali,"Cali, Colombia",1395062300059619331,https://twitter.com/i/web/stuatus/1395062300059619331
@Raiza45892495 @JessicaMariaAg2 Cuando la policia y el ESMAD maten a tu familia (Dios no quiera) no te quiero ver quejandote por aca.,2021-05-19 16:57:08,Cali,"Cali, Colombia",1395060969068449794,https://twitter.com/i/web/stuatus/1395060969068449794
@NoticiasCaracol Y por qué no los paga el ESMAD y los infiltrados de la policía?,2021-05-19 16:53:30,Cali,"Ibaguè, Tolima",1395060055192571908,https://twitter.com/i/web/stuatus/1395060055192571908
"@ELTIEMPO Si a mis hijos les hacen algo, sea quien sea, así sea un Esmad, un policía o una perra de estas, no me alcanzaría la vida para hacerles pagar",2021-05-19 16:52:16,Cali,Cali - Colombia,1395059742796656642,https://twitter.com/i/web/stuatus/1395059742796656642
"@intiasprilla @ClaudiaLopez @PoliciaBogota @petrogustavo Claro, ya ha protestado contra el actuar de la policía y el ESMAD en otras ocasiones, que usted solo quiera victimizar a Petro y no reconocer lo promero es otra cosa",2021-05-19 16:51:55,Cali,Colombia,1395059655135617026,https://twitter.com/i/web/stuatus/1395059655135617026
"@bipolarsincensu No soy bipolar subo lo que veo en mi país, un ESMAD asesino y una policía al servicio de la NARCO PARACO DICTADURA URIBISTA, #UribeGolpista",2021-05-19 16:50:27,Cali,"Bogotá, D.C., Colombia",1395059285290274825,https://twitter.com/i/web/stuatus/1395059285290274825
"@Diego_Molano Molano, dígame en que realidad vive usted porque la realidad de Colombia es que la policía y el esmad están fuera de control abusando de todo aquel que se le atraviese en el camino.",2021-05-19 16:50:18,Cali,Colombia,1395059247516463110,https://twitter.com/i/web/stuatus/1395059247516463110
"@Janisama2 @oswaldo_juan @IvanCepedaCast Los agentes del Esmad deberían pasar a formar parte de la policía nacional pues hasta donde se, eso es lo que son, porque el título de ""Esmad"" y todas las normativas que contiene ya le ha hecho muchísimo daño tanto a los agentes como al pueblo!",2021-05-19 16:42:10,Cali,santiago de cali,1395057201992065027,https://twitter.com/i/web/stuatus/1395057201992065027
@CamilSanc los policías entrenados para lidiar con criminalidad solo pueden ser peores.Mira la brutalidad del 9S cuando respondieron los policías de los CAI pq el ESMAD no daba abasto.Y también estas semanas la cantidad de muertos por arma de fuego no son del ESMAD sino de la Policía regula,2021-05-19 16:35:41,Cali,"Bogotá, D.C., Colombia",1395055569275432965,https://twitter.com/i/web/stuatus/1395055569275432965
"@ELINSOLENTE6 No se justifica el ataque a la policía y al Esmad, pero que son asesinos no hay duda",2021-05-19 16:28:46,Cali,"Bogotá, D.C., Colombia",1395053831713603585,https://twitter.com/i/web/stuatus/1395053831713603585
"Varios estudiosos del tema descubrieron una técnica para saber sí el ministro de defensa miente. Sí mueve los labios miente.

La policía y el ESMAD son asesinos, violadores y criminales. Nadie les cree!!
#ParoNacional19M https://t.co/XwmOzY8cOY",2021-05-19 16:15:10,Cali,"Cauca, Colombia",1395050406041067525,https://twitter.com/i/web/stuatus/1395050406041067525
